VietnameseName,Price
ỐC LÊN XÀO DỪA,95.000 /tô
ỐC NHẢY ĐỎ HẤP,NOT GIVEN
ỐC NHẢY HẤP,NOT GIVEN
CHỈNH BIỂN UM HOA CHUỐI,380.000 /kg
SỐ ĐIỆP NƯỚNG MỠ HÀNH,95.000 /dĩa
SỐ HUYẾT HẤP,125.000 /dĩa
SỐ HUYẾT NƯƠNG,125.000 /dĩa
SỐ HUYẾT RAM ME,125.000 /đĩa
SÒ LỤA HẤP,135.000 /thô
SÒ LỤA XÀO HÙNG QUẾ,135.000 /thô
TU HÀI TRẮNG NƯỚNG MỠ HÀNH,NOT GIVEN
TU HẢI VỚI HẤP,NOT GIVEN
TU HẢI VỚI NƯỚNG MỠ HÀNH,NOT GIVEN
XIA DEN HẤP SẢ ỚT,110.000 /thô
XIA ĐEN HẶP THAI,110.000 /thô
XIA DẾN NƯỚNG MỠ HÀNH,110.000 /thô
XÌA TRÁNG HẤP,60.000 /thô
HÀU ĐỔ CHẢ TRỨNG,95.000 /đdĩa
HÀU MŨ TẠT,130.000 /đĩa
HẬU NƯỚNG MỠ HÀNH,130.000 /đĩa
HẦU NƯỚNG MỌI,130.000 /đĩa
HÂU NƯỚNG PHỔ MẠI,130.000 /đĩa
HÂU SỮA NHÚNG,130.000 /dĩa
