VietnameseName,Price
CÁ BÓP HẤP GIA VỊ,NOT GIVEN
CÁ BÓP HẤP XÌ DẦU,NOT GIVEN
CÁ BỘP NẤU MẮN,NOT GIVEN
CẢ BÓP NẤU MÀNG,NOT GIVEN
CẢ BÓP NƯỚNG GIA VỊ,NOT GIVEN
CẢ BÓP NƯỚNG MUỐI ỚT,NOT GIVEN
CÁ BÓP SỐT MUỐI,NOT GIVEN
CÁ CHẠCH CHIÊN GIÒN,NOT GIVEN
CÀ CHẶCH NƯỚNG,NOT GIVEN
CÁ CHẠCH UM HOA CHUỔI,NOT GIVEN
CÀ DĨA CHIÊN,NOT GIVEN
CÀ DĨA NẤU LÀ GIANG,NOT GIVEN
CẢ DĨA NƯỚNG,NOT GIVEN
CÁ DỐI NẤU MẶN,NOT GIVEN
CẢ ĐÔI NƯỚNG MUỐI ỚT,NOT GIVEN
CÁ DỤC CHIÊN XŨ,NOT GIVEN
CÁ ĐỤC NƯỚNG,NOT GIVEN
CÁ DUỘI NẤU LÀ GIANG,140.000/phần
CẢ DUỘI NƯỜNG,100.000/dĩa
CÁ DUỔI UM,120.000/tô
CÁ GAY NẤU MẶN,NOT GIVEN
CÁGÂY NƯỚNG MUỐI ỚT,NOT GIVEN
CÁ HỒNG HẤP + BÁNH TRÁNG,NOT GIVEN
CÁ HỌNG NƯỚNG,NOT GIVEN
CẢ HỎNG SÓT ME,NOT GIVEN
CẢ MẠO ÉCH NẤU RAU RẠM,NOT GIVEN
CẢ MÀO ẾCH NƯỚNG MUỐI ỚT,NOT GIVEN
