VietnameseName,Price
LƯỜN NGỖNG XÔNG KHÓI,79k
TÔM HẤP,79k
TÔM XÀO BƠ TỎI,79k
TÔM RANG ME,79k
TÔM RANG MUỐI,79k
MỰC HẤP,79k
MỰC CHIÊN MẮM,79k
MỰC SỐT SA TẾ,79k
BẠCH TUỘC SỐT CÔ BA,79k
BẠCH TUỘC SỐT SA TẾ,79k
BẠCH TUỘC LẮC ỚT TẮC,79k
BÒ TƠ HẤP SẢ,79k
BÒ TƠ XÀO LÁ LỐT,79k
BÒ TƠ XÀO LĂN,79k
BÒ TƠ XÀO NÉN,79k
BÒ TƠ XÀO SẢ ỚT,79k
BẮP BÒ SỐT TIÊU XANH,85k
BẮP BÒ XÀO SA TẾ,85k
BÒ LÚC LẮC,85k
TRỨNG NON CHÁY TỎI,85k
CÀNG GHẸ RANG MUỐI,89k
CÀNG GHẸ RANG ME,89k
ỐC HƯƠNG HẤP,99k
ỐC HƯƠNG XÀO SẢ,99k
ỐC HƯƠNG BƠ TỎI,99k
ỐC HƯƠNG RANG MUỐI,99k
ỐC HƯƠNG XÀO ME,99k
