VietnameseName,Price
CHÁO BÒ BẰM,70.000 /tô
CHÁO CÁ BÓP,135.000 /tô
CHÁO CÁ LÓC,125.000 /tô
CHÁO GÀ,270.000 /con
CHÁO LƯƠN,95.000 /tô
CHÁO HẢI SẢN,80.000 /tô
CHÁO HẦU,80.000 /tô
CHÁO THẬP CẢM,80.000 /tô
CHÁO TÔM,80.000 /tô
CHÁO TRẮNG CÁ CƠM KHO,80.000 /tô
CƠM CHIÊN CÁ MẶN,80.000 /dĩa
CƠM CHIÊN DƯỜNG CHÂU,80.000 /dĩa
CƠM CHIÊN HẢI SẢN,80.000 /dĩa
CƠM CHIÊN THẬP CẢM,80.000 /dĩa
CƠM CHIÊN TÔM,80.000 /dĩa
CƠM CHIÊN TRỨNG,55.000 /đĩa
CƠMCHIÊN MUỐI ỚT,55.000 /dĩa
CƠM CHIÊN TỎI,55.000 /đĩa
BÚN SONG THẦN XÀO HẢI SẢN,160.000 /đĩa
BÚN SONG THĂN XÀO LÒNG GÀ,120.000 /đĩa
BÚN SONG THẦN XÀO NẤM + THỊT BÒ,160.000 /dĩa
MÌ XÀO BẼ,80.000 /đĩa
MÌ XÀO BÒ,80.000 /dĩa
MÌ XÀO CẢI,55.000 /dĩa
MÌ XÀO HẢI SẢN,85.000 /dĩa
MÌ XÀO THẬP CẨM,85.000 /dĩa
MÌ XÀO TÔM,85.000 /dĩa
