VietnameseName,Price
TRÀ SỮA OLONG ĐẶC BIỆT (FULL TOPPING ) M,18
TRÀ SỮA OLONG ĐẶC BIỆT (FULL TOPPING ) L,23k
TRÀ SỮA OLONG TRÂN CHÂU ĐEN/ TRẮNG M,15k
TRÀ SỮA OLONG TRÂN CHÂU ĐEN/ TRẮNG L,20k
TRÀ SỮA 3 TẨNG KEM TRỨNG NƯỚNG M,20
TRÀ SỮA 3 TẨNG KEM TRỨNG NƯỚNG L,25k
TRÀ SỮA KEM TRỨNG DỪA NƯỚNG M,20k
TRÀ SỮA KEM TRỨNG DỪA NƯỚNG L,25k
SỮA TƯƠI KEM TRỨNG OREO M,20k
SỮA TƯƠI KEM TRỨNG OREO L,25k
TRÀ SỮA BRULLE TRỨNG MUỐI M,20k
TRÀ SỮA BRULLE TRỨNG MUỐI L,25k
TRÀ SỮA KHOAI MÔN ĐẶC BIỆT (FULL TOPPING) M,18k
TRÀ SỮA KHOAI MÔN ĐẶC BIỆT (FULL TOPPING) L,23k
TRÀ SỮA KHOAI MÔN TRÂN CHÂU ĐEN/ TRẮNG M,15k
TRÀ SỮA KHOAI MÔN TRÂN CHÂU ĐEN/ TRẮNG L,20k
TRÀ SỮA SOCOLA ĐẶC BIỆT (FULL TOPPING ) M,18k
TRÀ SỮA SOCOLA ĐẶC BIỆT (FULL TOPPING ) L,23k
SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN M,20k
SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN L,25k
SỮA TƯƠI TRÂN CHÂU ĐƯỜN ĐEN 4 TẦNG KEM TRỨNG NƯỚNG M,20k
SỮA TƯƠI TRÂN CHÂU ĐƯỜN ĐEN 4 TẦNG KEM TRỨNG NƯỚNG L,25k
SỮA TƯƠI CAPHE SƯƠNG SÁO M,20k
SỮA TƯƠI CAPHE SƯƠNG SÁO L,25k
SỮA TƯƠI KEM TRỨNG DỪA NƯỚNG M,20k
SỮA TƯƠI KEM TRỨNG DỪA NƯỚNG L,25k
TRÀ SỮA KEM TRỨNG OREO M,20k
TRÀ SỮA KEM TRỨNG OREO L,25k
SỮA TƯƠI KEM TRỨNG BRULLE TRỨNG MUỐI M,20k
SỮA TƯƠI KEM TRỨNG BRULLE TRỨNG MUỐI L,25k
MILO DẨM TRÂN CHÂU ĐƯỜNG ĐEN ĐẶC BIỆT ( FULL TOPPING) M,25k
TRÀ CHANH 1/TÚI ZIP M,10k
TRÀ CHANH 1/TÚI ZIP L,15k
TRÀ TẮC XÍ MU LY/ TÚI ZIP M,12k
TRÀ TẮC XÍ MU LY/ TÚI ZIP L,15k
TRÀ ĐÀO LY/ TÚI XI M,15k
TRÀ ĐÀO LY/ TÚI XI L,20k
TRÀ XANH DƯA HẤU M,12k
TRÀ XANH DƯA HẤU L,17k
TRÀ ỔI HỒNG M,20k
TRÀ ỔI HỒNG L,25k
TRÂN CHÂU ĐEN/ TRẮNG,NOT GIVEN
KEM FLAN,NOT GIVEN
KEM TRỨNG,NOT GIVEN
BÁNH MILO,NOT GIVEN
PUDDING,NOT GIVEN
(TRỨNG/ SOCOLA/ KHOAI MÔN/ SƯƠNG SÁO ),NOT GIVEN
