VietnameseName,Price
CHẢ TÔM,95.000 /đĩa
CHẢ TÔM,105.000 /đĩa
CHẢ RAM TÔM ĐẤT,95.000 /đĩa
CHẢ RAM TÔM ĐẤT,75.000 /đĩa
BẮP XÀO HÀNH,55.000 /đĩa
BẤP XÀO TÔM,65.000 /đĩa
BẦU LUỘC CHẤM TRỨNG,50.000 /đĩa
CẢI XÀO NẤM,75.000 /đĩa
CHẢ CÁ THÁC THÁC CHIÊN,75.000 /dĩa
ĐẬU HŨ CHIÊN,50.000 /đĩa
ĐẬU HŨ CHIÊN XẢ ỚT,55.000 /đĩa
ĐẬU HŨ HẤP,50.000 /đĩa
ĐẬU HỦ MẮM TÔM,50.000 /đĩa
ĐẬU HŨ SỐT CẢ,60.000 /đĩa
ĐẬU HŨ XÔNG KHỎI,95.000 /dĩa
ĐẬU NON CHIÊN XÙ,60.000 /dĩa
ĐẬU NON HẠP,60.000 /đĩa
DẬU NON LƯỚT VẪN,65.000 /đĩa
KHỔ QUA DĂM BÔNG,60.000 /đĩa
KHOAI LANG XÓC MUỐI,60.000 /đĩa
KHOAI LANG CHIÊN MẮM,60.000 /đĩa
KHOAI TÂY CHIÊN,60.000 /dĩa
NGŨ QUẢ LUỘC KHÔ QUỆT,75.000 /đĩa
PHÔ MAI CHIÊN XÙ,90.000 /dĩa
RAU RỪNG MẮM CUA,75.000 /đĩa
SỤN GÀ CHIÊN BỘT,95.000 /đĩa
SỤN GÀ CHIÊN MẮM,95.000 /đĩa
TRỨNG NON XÀO MUỚP,95.000 /dĩa
TRỨNG NON XÀO NẤM,100.000 /dĩa
