VietnameseName,Price
CÁ CHAI NƯỚNG,NOT GIVEN
CÁ BÒ DA NƯỚNG,290.000/kg
CÁ CHUA HẤP LÁ GIANG + BÁNH TRÁNG,220.000/kg
CÁ CƠM 1 NẮNG CHIÊN MẮM,75.000/đĩa
CÁ RÕ BỈ CHIÊN GIÒN,80.000/dĩa
CÁ SƠN NƯỚNG,290.000/kg
LƯƠN NƯỚNG ỐNG TRE,95.000 /đĩa
LƯƠN UM,100.000 /đĩa
LƯƠN XÀO LĂN,100.000 /đĩa
LƯƠN XÀO LĂN,95.000 /dĩa
LƯƠN XÀO MIẾN,105.000 /đĩa
LƯƠN XÀO XÀ ỚT,95.000 /dĩa
MIẾN XÀO LƯƠN,120.000 /dĩa
CHỈNH BIỂN NƯỚNG,380.000/kg
CHỈNH MUN NẤU CHUỐI ĐẬU,NOT GIVEN
CHỈNH MUN NƯỐNG MUỐI ỚT,NOT GIVEN
CHỈNH MUN RANG MUỐI,NOT GIVEN
CHỈNH MUN UM HOA CHUỐI,NOT GIVEN
