VietnameseName,Price
CÁ LÓC CHIÊN XŨ,120.000/dĩa
CÁ LÓC HẤP BẬU,130.000/phần
CÁ LỌC NẤU LÀ GIANG,130.000/đĩa
CẢ LÓC NƯỚNG GIA VỊ,120.000/đĩa
CẢ LÓC NƯỚNG ÔNG TRẺ,130.000/phần
CÁ LỌC NẤU DỪA,130.000/phần
CÁ LÓC ÚM CHUÔI CẤY,130.000/phần
CẢ MŨ HẤP GIA VÌ,NOT GIVEN
CÁ MŨ HẤP XÌ DẦU,NOT GIVEN
CẢ MÙ KHO -CHẢO TRẮNG,NOT GIVEN
CẢ MỦ NƯỚNG MUỐI ỚT,NOT GIVEN
CẢ MỦ PHILE-MŨ TẠT,NOT GIVEN
CẢ MỦ SÓNG +MŨ TẠT+CHẢO,NOT GIVEN
CẢ NINIA NƯỚNG,85.000/dĩa
CẢ NINĨA UM,110.000/dĩa
CÁ NGỪ ĐẠI DƯỜNG MŨ TẠT,160.000/phần
MẮT CÁ NGỪ DẠI DƯƠNG CHƯNG,55.000/con
MẮT CÁ NGỮ DẠI DƯƠNG HẦM THUỐC BẮC,55.000 /con
MẮT CÁ NGỪ DẠI DƯỜNG HẢM TIÊU,55.000/con
MẮT CÁ NGỪ NẤU LÁ GIANG,55.000/ thô
NHỮNG DẪM,NOT GIVEN
MÙ TẠC,NOT GIVEN
CHÁO DẬU XANH,NOT GIVEN
MŨ TẠC,NOT GIVEN
RANG MUỐI/RANG MUỐI ỚT,NOT GIVEN
NẤU MĂNG CHUA/LÀ GIANG,NOT GIVEN
LÂU CÁ TÂM)I,NOT GIVEN
NƯỚNG RIÊNG XẢ/NƯỚNG NGHỆ,NOT GIVEN
NẤU MÀNG CHUA/CHAO,NOT GIVEN
