VietnameseName,Price
SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN L,34k
TRÀ SỮA KHOAI MÔN KEM CHEESE L,34k
TRÀ SỮA MATCHAR KEM CHEESE L,34k
TRÀ SỮA KHOAI LAN TÍM SỮA DỪA L,34k
TRÀ SỮA DƯA GANG L,34k
TRÀ SỮA SẦU RIÊNG L,34k
TRÀ SỮA SOCOLA NGỌC TRAI L,30k
TRÀ SỮA TRÂN CHÂU HOÀNG GIA L,28k
TRÀ SỮA Ô LONG DƯA HẤU L,28k
TRÀ SỮA Ô LONG BẠC HÀ L,28k
TRÀ SỮA HƯƠNG ĐÀO L,28k
SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN M,29k
TRÀ SỮA KHOAI MÔN KEM CHEESE M,29k
TRÀ SỮA MATCHAR KEM CHEESE M,29k
TRÀ SỮA KHOAI LAN TÍM SỮA DỪA M,29k
TRÀ SỮA DƯA GANG M,29k
TRÀ SỮA SẦU RIÊNG M,29k
TRÀ SỮA SOCOLA NGỌC TRAI M,25k
TRÀ SỮA TRÂN CHÂU HOÀNG GIA M,23k
TRÀ SỮA Ô LONG DƯA HẤU M,23k
TRÀ SỮA Ô LONG BẠC HÀ M,23k
TRÀ SỮA HƯƠNG ĐÀO M,23k
