VietnameseName,Price
XÚC XÍCH ĐỨC NƯỚNG,10k/ cây
ĐẬU BẮP NƯỚNG,25k
CÀ TÍM NƯỚNG,25k
CÁ/ BÒ/ TÔM VIÊN NƯỚNG,25k
BÁNH BAO NƯỚNG,35k
LÒNG HEO NƯỚNG,35k
MỀ GÀ NƯỚNG,35k
MỰC NƯỚNG,35k
TÔM NƯỚNG,35k
BẠCH TUỘC NƯỚNG,35k
SƯỜN NƯỚNG BBQ,35k
BA CHỈ HEO NƯỚNG,35k
ẾCH NƯỚNG,35k
BA CHỈ BÒ MỸ NƯỚNG,35k
BA CHỈ BÒ CUỘN NẤM,40k
BA CHỈ BÒ CUỘN PHÔ MAI,40k
BÒ NƯỚNG SA TẾ,40k
BÒ NƯỚNG LÁ LỐT,40k
BẸ SỮA NƯỚNG,45k
HÀU PHÔ MAI,12k/ con
HÀU NƯỚNG MỠ HÀNH,55k
XÌA NƯỚNG,55k
SÒ ĐIỆP NƯỚNG,55k
ỐC BƯƠU NƯỚNG TIÊU XANH,59k
BA CHỈ NƯỚNG,65k
BẸ SỮA NƯỚNG,69k
TÔM NƯỚNG,69k
BẠCH TUỘC NƯỚNG,69k
BÒ NƯỚNG CAY,69k
BÒ NƯỚNG LÁ LỐT,69k
BÒ CUỘN NẤM KIM CHÂM,79k
