VietnameseName,Price
MỰC CƠM CHIÊN MẮM,120.000 /dĩa
MỰC CƠM CHIÊN TỎI,120.000 /dĩa
MỰC CƠM HẤP,120.000 /đĩa
MỰC CƠM NƯỚNG MUỐI ỚT,120.000 /đĩa
MỰC NANG CHIÊN MẮM,120.000 /dĩa
MỰC NANG CHIÊN TỎI,120.000 /đĩa
MỰC NANG HẤP,120.000 /dĩa
MỰC NANG XÀO CHUA NGỌT,120.000 /dĩa
MỰC ỔNG NƯỚNG MỌI,120.000 /đĩa
MỰC ỐNG CHIÊN TỎI,120.000 /dĩa
MỰC ỐNG CHIÊN XỦ,120.000 /dĩa
MỰC ỐNG HẤP HÀNH GỪNG,120.000 /đĩa
MỰC ỔNG NHÚNG DỪA,240.000 /phần
MỰC ÔNG NƯỚNG MUỐI ỚT,120.000 /đĩa
MỰC ỔNG XÀO CHUA NGỌT,125.000 /đĩa
KHÔ MỰC NƯỚNG,105.000 /con
MỰC 1 NẮNG NƯỚNG,155.000 /con
MỰC KHÔ CHIÊN MẮM,105.000 /con
BẠCH TUỘC HẤP,NOT GIVEN
BẠCH TUỘC NƯỚNG,NOT GIVEN
