VietnameseName,Price
CALE ĐEN - VIETRAMESE KE COFLES,15.000
TIGER NÂU,16.000
CAFE SỮA - VIOTNCINEO MTK COFLEE,18.000
TIGER LON,16.000
"TRÀ BẮC, TRÀ ĐEN , Ô-LONG - PIOCK REA",25.000
TIGER BẠC (CRYSTAL),17.000
"TRÀ CHANH, GỪNG, MẬT ONG - TEA, GHGỌC HONGY",25.000
HEINEKEN,18.000
SAIGON SPECIAL,15.000
"COCA ,PEPSI, 7-UP, NUTI DÂU - CAM",18.000
QUY NHƠN,12.000
"COKE LIGHT , REDBULL",20.000
STRONG BÓW (TÁO - DÂU),22.000
NƯỚC SUỐI - MHERDI WALER,12.000
CRAFT BEER,NOT GIVEN
NƯỚC KHOẢNG - SOAL NG WARER,18.000
SODA CHANH - SODA LIMG,22.000
ONYKX - 0.5L,47.000
TONIC WATER,22.000
AMBER - 0.5L,47.000
BAY - 1L,45.000
"CAM , CARROT , ỔI - ORONGO, CƠNOT, UAVO",25.000
MAKKOIL (NƯỢU GẠP HÀN QUỐC) - 750ML,65.000
"CHANH LƯƠI, CHANH ĐÂY - LẠMON RASỜN MUI",20.000
MOJITO,45.000
"BARCOD-IGHT, IME JUCE .SODA WATER",NOT GIVEN
"VIAMIN - B.12 - BUEBARY STROWBON, OOUT",28.000
GIN TONIC,40.000
NĂM VIỆT QUỐC. BÒN. SỮA CHUA,NOT GIVEN
BEMTAYSAOPHRE. TNE WETER,NOT GIVEN
"VITAMIN - 4 & E  LOOGO, BANANA, FOGUR",30.000
MARAGHITA,40.000
"XOÀ, CHUỐI SỮACHUA",NOT GIVEN
"VITAMIN - K & 4 - AVOCADO, BANCNG CHOCOLATE",35.000
LONG ISLAND ICE TED,55.000
"BƠ, CHUA, CHOCOLNE",NOT GIVEN
GN LOOO PHUM LEGUG TPLỮ-SEC COKE,NOT GIVEN
VITAMIN - C & B - MANGA STRAWBON: YOOUET,30.000
WISKEY SOUR,40.000
"XOA, DẦU, SIÒ CHỨA",NOT GIVEN
DIMBEOM.SWOO-SOUR SYRIP,NOT GIVEN
MANGO DAIQUIRI,40.000
"SMNON MẮNGO ,TIME TCE",NOT GIVEN
VIRGIN MOJLTO - TEMON KN SHUN SAAA,25.000
VIRGIN MOJLTO - TEMON KN SHUN SAAA,55.000
"BLUEBORRY LEMON - 5UEBOMRY, LOMON HONAY SODO",30.000
"BLUEBORRY LEMON - 5UEBOMRY, LOMON HONAY SODO",45.000
ĐÒU CHANH CÂN /TP,30.000
"GINGOR FIZ - TEMON, ONGOY, TUP",25.000
