VietnameseName,Price
ỐC BƯƠU NHÔI THỊT,55.000
CHÂN GÀ SỐT THÁI,45.000
CHÂN GÀ XÀO CAY,45.000
TRẾ TRỘN,55.000
TRỨNG CÚT LỘN BƠ TỎI,45.000
"BA CHỈ, BÒ, LÒNG, CHÂN GÀ, BÒ LÁ LỐT",99.000
GỎI BÒ BÁNH DA,60.000
TRỨNG CÚT LỘN XÀO ME,30.000
BA CHỈ NƯỚNG,59.000
RAM CHẢ ỐC,45.000
CÁ VIÊN CHIÊN,30.000
BÒ NƯỚNG,69.000
RAM TÔM CUỐN CẢI,45.000
KHOAI LÀNG KÊN,35.000
LÒNG NƯỚNG,69.000
ECH NƯỚNG,69.000
CHÂN GÀ RÚT XƯƠNG,69.000
BÒ CUỘN NÂM KIM CHÂM,75.000
PEPSI / COCA,12.000
KHOÁNG LẠC,10.000
TRÀ CHANH/ TẮC,12.000
NƯỚC SUỐI,10.000
TRÀ THẢO MỘC HẠT CHIA,18.000
BÒ HÚC,18.000
TRÀ TẮC THẢO MỘC,18.000
TIGER,18.000
CHÈ DƯỠNG NHAN VÊN TUYẾT,20.000
HEINEKEN,23.000
