VietnameseName,Price
"DABECO , SAUVIGNON BLANE, VIETNAM",35.000
"CONNAISSUER , SQUVIGNON BLANO, FRANCE",65.000
"DABECO EXPORT ,CADINAI,VIEINAM",35.000
"CONNAISUUER , SHIRAZ, FRANCE",75.000
"CONNAISUUER , SAUVIGNON BLANC , FRANCE",390.000
"DABECO CLASSIC,SAUVIGNON BLANC, VIEINAM",190.000
"CONNAISSUEER, SHIRAZ, FRANCE 2005",480.000
"1895, CARBERNET SAUVLGNON, FRANCE , 2016",370.000
"CHIVO CABERNOT SAUVIGNON , CHILE",450.000
"GLAMOUR , SPECIAL SELECTION , CARBERET 5AUVIGNON , CHILE",790.000
"LUCKY SEVEN , CABERNET SAUVIGNON , AUSIRALIA , 2016",390.000
"DABECO CLASSIC, CARDINAI,VIEINAM",190.000
"DABECO STRONG WINE , CARBERNET SAUVIGNON , VIEINAM",250.000
"COLCH RESERVE, CARBERNET SAUVIGNON, CHILE , 2014",320.000
"AVALON CABERNET SHIRAZ MERIOT, AUSTRALLA",290.000
