VietnameseName,Price
LÒNG CHIÊN MẮM,49k
LÒNG XÀO NGHỆ,49k
XÌA HẤP SẢ,55k
XÌA HẤP THÁI,55k
ẾCH XÀO SẢ ỚT,55k
ẾCH RANG LÁ CHANH,59k
ẾCH RANG MUỐI,59k
ẾCH CHIÊN MẮM,59k
ẾCH CHIÊN BƠ,59k
SỤN RANG MUỐI,59k
SỤN CHIÊN MẮM,59k
CÁNH GÀ RANG MUỐI,59k
CÁNH GÀ CHIÊN MẮM,59k
CÁNH GÀ CHIÊN BƠ,59k
ỐC BƯƠU HẤP SẢ,59k
ỐC BƯƠU XÀO SẢ,59k
ỐC BƯƠU UM TIÊU,59k
ỐC MÓNG TAY XÀO SẢ,59k
ỐC MÓNG TAYXÀO BƠ TỎI,59k
ỐC MÓNG TAY XÀO RAU MUỐNG,59k
LƯỠI VỊT RANG MUỐI,69k
LƯỠI VỊT CHIÊN MẮM,69k
CÀ NA RANG MUỐI,69k
CÀ NA HẤP SẢ,69k
CÀ NA XÀO SẢ,69k
CÀ NA XÀO BƠ TỎI,69k
CHÂN GÀ SỐT CÔ BA,69k
CHÂN GÀ RANG MUỐI,69k
