VietnameseName,Price
LẪU CÁ BÓP,260.000 /phần
LẪU CÁ DĨA NẤU LÁ GIANG,NOT GIVEN
LÂU CÁ ĐUỔI,190.000 /phần
LẪU CÁ LÓC,140.000 /phần
LẪU CẢ MŨ,NOT GIVEN
LÂU CÁ THÁC LÁC KHỔ QUA,220.000 /phần
LẪU CÁ THÁC LÁC LÁ GIANG,220.000 /phần
LẪU CỦA GẠCH,NOT GIVEN
LẪU CUA THỊT,NOT GIVEN
LÂU GÀ LÁ É,290.000 /con
LÂU GÀ LÁ GIANG,290.000 /Con
LẪU BÒ CHUA CAY,240.000 /phần
LÂU ĐUÔI MỎNG BÒ,240.000 /phần
LẪU ẾCH LÁ GIANG,140.000 /cái
LẪU GHỆ,NOT GIVEN
LẪU HẢI SẢN,240.000 /phần
LÂU LƯƠN,220.000 /phần
LẪU MỰC,240.000 /phần
LÂU SỨA NƯỚC LEO,240.000 /phần
LẪU THÁI,240.000 /phần
LÂU THẬP CẨM,240.000 /phần
